camera_id,worker_id,station_id,session_id,session_duration_sec,total_frames_analyzed,window_size_sec,awkward_duty_cycle_pct,total_repetition_cycles,completed_lifts,completed_bends,rep_rate_per_min,mean_lumbar_torque_nm,peak_lumbar_torque_nm,mean_spinal_compression_n,peak_spinal_compression_n,mean_cumulative_score,peak_cumulative_score,risk_category,incidents_triggered,incidents_file,strands_file,is_estimated_model_indicator
camera_01,W-C01-SESS,STATION-01,sess_1789843101_camera_01,2.36,60,20.0,91.5,1,0,1,25.4,74.4,97.2,1880.0,2311.6,54.8,73.7,HIGH,1,output\incidents\camera_01_incidents.json,output\incidents\camera_01_strands_incidents.json,True
camera_02,W-C02-SESS,STATION-02,sess_1789843102_camera_02,2.36,60,20.0,91.5,2,0,2,50.8,74.4,97.2,1880.3,2311.6,65.9,73.7,HIGH,1,output\incidents\camera_02_incidents.json,output\incidents\camera_02_strands_incidents.json,True
camera_03,W-C03-SESS,STATION-03,sess_1789843104_camera_03,2.36,60,20.0,100.0,0,0,0,0.0,98.5,100.4,2393.0,2430.4,54.8,57.6,MODERATE,1,output\incidents\camera_03_incidents.json,output\incidents\camera_03_strands_incidents.json,True
